,i,year,month,acyear,title,category,inst,instclass,url,country
1182,1182,2022,2,2021,Research Fellow in Exoplanet Characterisation,Post-doctoral Positions and Fellowships,University College London,Research Laboratory,/ad/d1c10b52,United Kingdom of Great Britain and Northern Ireland
1183,1183,2021,10,2021,Postdoctoral Research Associate in Extragalactic Astrophysics,Post-doctoral Positions and Fellowships,Texas A&amp;M University,Large Academic,/ad/4505faae,United States of America
1184,1184,2021,11,2021,Scientist-UF Astronomy Observatories,Faculty Positions (visiting and non-tenure),University of Florida,Large Academic,/ad/e1a15c55,United States of America
1185,1185,2019,10,2019,Postdoctoral position in computational star and planet formation,Post-doctoral Positions and Fellowships,CRAL,Foreign,/ad/82c42767,France
1186,1186,2021,4,2020,Associate Director of Chile Operations ,Science Management,AURA/ Gemini Observatory,Other,/ad/806f7638,Chile
1187,1187,2020,6,2020,"Project Assistant Professor, National Astronomical Observatory of Japan (NAOJ) ",Faculty Positions (visiting and non-tenure),National Astronomical Observatory of Japan,Foreign,/ad/f8225173,Japan
1188,1188,2021,10,2021,CCAPP Postdoctoral Fellows,Post-doctoral Positions and Fellowships,The Ohio State University,Large Academic,/ad/8f2d3f7e,United States of America
1189,1189,2021,12,2021,One Postdoctoral Contract E-MILES-A (PS-2021-108),Post-doctoral Positions and Fellowships,Instituto de Astrofísica de Canarias,Government Agency,/ad/662cbb87,Spain
1190,1190,2021,10,2021,One Postdoctoral Contract NanoFull-COSJWST 2021 (PS-2021-081),Post-doctoral Positions and Fellowships,Instituto de Astrofísica de Canarias,Government Agency,/ad/e201fc32,Spain
1191,1191,2022,6,2022,Physics &amp; Astronomy Lecturers,Faculty Positions (visiting and non-tenure),Texas State University,Large Academic,/ad/13695a06,United States of America
1192,1192,2019,7,2019,One Postdoctoral contract LSPE-STRIP 2019 (PS-2019-034),Post-doctoral Positions and Fellowships,Instituto de Astrofísica de Canarias,Government Agency,/ad/6a32dbb9,Spain
1193,1193,2019,9,2019,Tenure Track Position in the Department of Physics and Astronomy,Faculty Positions (tenure and tenure-track),Franklin and Marshall College,Small Academic,/ad/b554057d,United States of America
1194,1194,2019,8,2019,Post Doctoral Researcher in ISM studies of Star-Forming Galaxies- #0035317,Post-doctoral Positions and Fellowships,Space Telescope Science Institute,Other,/ad/335c41a0,United States of America
1195,1195,2020,11,2020,Postdoc position in theoretical/computational astrophysics,Post-doctoral Positions and Fellowships,Max Planck Institute for Astrophysics,Foreign,/ad/a54456ba,Germany
1196,1196,2021,10,2021,Postdoctoral fellowships in gravitational-wave astronomy at Milan-Bicocca (Italy),Post-doctoral Positions and Fellowships,University of Milan-Bicocca,Large Academic,/ad/bef7116b,Italy
1197,1197,2020,8,2020,Post-Bac Researcher,Pre-doctoral/Graduate Positions,Macalester College,Small Academic,/ad/b8339da1,United States of America
1198,1198,2019,7,2019,Postdoctoral positions on binaries from LAMOST mid-resolution survey ,Post-doctoral Positions and Fellowships,"Yunnan Observatories, the Chinese Academy of Sciences",Foreign,/ad/d7716e8d,China
1199,1199,2020,2,2019,Post-doctoral position at Institut d'Astrophysique de Paris (France),Post-doctoral Positions and Fellowships,Institut d'Astrophysique de Paris (IAP),Research Laboratory,/ad/8e06bae8,France
1200,1200,2021,1,2020,Visiting Assistant Professor of Physics and Astronomy,Faculty Positions (visiting and non-tenure),Hampden-Sydney College,Small Academic,/ad/d6022833,United States of America
1201,1201,2022,7,2022,NASA Job Announcement: Astrophysics Program Scientist,Science Management,NASA Headquarters,Government Agency,/ad/13daf7b6,United States of America
1202,1202,2021,7,2021,Postdoctoral Research Assistant in Space Plasma Physics,Post-doctoral Positions and Fellowships,Queen Mary University of London,Large Academic,/ad/7c9238e0,United Kingdom of Great Britain and Northern Ireland
1203,1203,2020,10,2020,South African SKA Research Chair in Multi-Wavelength Extragalactic Astronomy,Faculty Positions (tenure and tenure-track),University of Cape Tow,Large Academic,/ad/344506b8,South Africa
1204,1204,2019,9,2019,Astronomy - Job # 312060,Faculty Positions (tenure and tenure-track),Phoenix College,Small Academic,/ad/17a0184c,United States of America
1205,1205,2021,1,2020,2 Postdoctoral Associate positions in Exoplanet Atmospheres,Post-doctoral Positions and Fellowships,University of Geneva,Large Academic,/ad/57a6352a,Switzerland
1206,1206,2021,6,2021,Research Associate in Gamma-ray Astrophysics,Post-doctoral Positions and Fellowships,The University of Alabama in Huntsville,Large Academic,/ad/57b1177d,United States of America
1207,1207,2019,10,2019,CCAPP Postdoctoral Fellows,Post-doctoral Positions and Fellowships,The Ohio State University,Large Academic,/ad/680d0408,United States of America
1208,1208,2021,11,2021,Physicist Staff Scientist ,Scientific/Technical Staff,Lawrence Berkeley National Laboratory,Research Laboratory,/ad/acdcf352,United States of America
1209,1209,2021,9,2021,Senior Frontend Web Developer,Scientific/Technical Staff,AURA/ Vera C. Rubin Observatory,Other,/ad/bb41a2bc,United States of America
1210,1210,2020,12,2020,AtLAST Scientist ,Scientific/Technical Staff,"UK Astronomy Technology Centre, Edinburgh",Research Laboratory,/ad/b3cc90e1,United Kingdom of Great Britain and Northern Ireland
1211,1211,2022,8,2022,One Postdoctoral Contract AS IAC-NOT 2022 (PS-2022-077),Post-doctoral Positions and Fellowships,Instituto de Astrofísica de Canarias,Government Agency,/ad/d18f229d,Spain
1212,1212,2021,11,2021,Postdoctoral Position in Star-Exoplanet connections at Leiden Observatory,Post-doctoral Positions and Fellowships,"Leiden Observatory, Leiden University",Foreign,/ad/72ccf526,Netherlands
1213,1213,2021,7,2021,Astronomy Education Specialist,Other,AURA/ NOIRLab,Other,/ad/5aebee79,United States of America
1214,1214,2021,11,2021,Research Assistant/Associate in Debris Disks (Fixed Term),Post-doctoral Positions and Fellowships,University of Cambridge,Foreign,/ad/1f8cde1f,United Kingdom of Great Britain and Northern Ireland
1215,1215,2021,5,2020,One postdoctoral contract ESPLA 2021-2 (PS-2021-045),Post-doctoral Positions and Fellowships,Instituto de Astrofísica de Canarias,Government Agency,/ad/e5c8d140,Spain
1216,1216,2019,11,2019,JWST Postdoctoral Fellowship (iREx),Post-doctoral Positions and Fellowships,Institute for Research on Exoplanets,Large Academic,/ad/a031e334,Canada
1217,1217,2021,9,2021,CSIRO Postdoctoral Fellowship in Radio Astronomy: Discovering Cosmic Dawn,Post-doctoral Positions and Fellowships,CSIRO,Government Agency,/ad/4c9ba654,Australia
1218,1218,2021,10,2021,Master and Doctoral Positions at the Universidad de Chile,Pre-doctoral/Graduate Positions,Universidad de Chile,Large Academic,/ad/2c3639f6,Chile
1219,1219,2021,11,2021,Postdoctoral Fellowship in Time Domain Astronomy,Post-doctoral Positions and Fellowships,California Institute of Technology,Small Academic,/ad/3f16894e,United States of America
1220,1220,2022,2,2021,Risk Management Lead,Science Engineering,GMTO Corporation,Other,/ad/a49a698b,United States of America
1221,1221,2020,10,2020,Postdoctoral  in computational planet formation,Post-doctoral Positions and Fellowships,New Mexico State University,Large Academic,/ad/0b720bba,United States of America
1222,1222,2021,6,2021,Senior Data Engineer,Science Engineering,Space Telescope Science Institute,Government Agency,/ad/0025ff7e,United States of America
1223,1223,2021,10,2021,Postdoctoral Researcher in Astronomical Polarimetry Instrumentation,Post-doctoral Positions and Fellowships,California State University Northridge,Large Academic,/ad/b8072f5a,United States of America
1224,1224,2021,12,2021,JWST Exoplanet Observation Postdoctoral Fellow,Post-doctoral Positions and Fellowships,Carnegie Institution for Science,Research Laboratory,/ad/887b07cd,United States of America
1225,1225,2020,1,2019,"Postdoctoral Fellowship, Life Signatures on Exoplanets",Post-doctoral Positions and Fellowships,National Research Council of Canada,Government Agency,/ad/d3c72a4b,Canada
1226,1226,2021,12,2021,Postdoctoral Scholar in Star and Planet Formation,Post-doctoral Positions and Fellowships,University of Nevada Las Vegas,Large Academic,/ad/1441f7cb,United States of America
1227,1227,2022,4,2021,PhD position in Observational Cosmology,Pre-doctoral/Graduate Positions,Ecole Polytechnique Fédérale de Lausanne,Research Laboratory,/ad/c59b4145,Switzerland
1228,1228,2021,2,2020,Post-doctoral Researcher(s) in Exoplanet Science,Post-doctoral Positions and Fellowships,University of Arizona,Large Academic,/ad/57dd6765,United States of America
1229,1229,2022,3,2021,Research Fellow in Early Galaxy Formation and Evolution,Post-doctoral Positions and Fellowships,University of Manchester,Large Academic,/ad/6df59ecb,United Kingdom of Great Britain and Northern Ireland
1230,1230,2020,10,2020,Postdoctoral Research Associate or Senior Research Associate in Cosmology (Fixed Term),Post-doctoral Positions and Fellowships,University of Cambridge,Large Academic,/ad/d5aa6bcd,United Kingdom of Great Britain and Northern Ireland
1231,1231,2021,5,2020,Freelance Copy Editor,Scientific/Technical Staff,IOP Publishing,Other,/ad/0296da7c,United States of America
1232,1232,2020,1,2019,Postdoc in asteroid/comet observations,Post-doctoral Positions and Fellowships,University of Edinburgh,Large Academic,/ad/6b32ecf7,United Kingdom of Great Britain and Northern Ireland
1233,1233,2021,6,2021,Astrophysicist Post-doc Researcher,Post-doctoral Positions and Fellowships,Smithsonian Astrophysical Observatory,Government Agency,/ad/8d6ad5d0,United States of America
1234,1234,2020,9,2020,Postdoctoral Research Scientist in Theoretical Astrophysics ,Post-doctoral Positions and Fellowships,Columbia University,Large Academic,/ad/4a50c002,United States of America
1235,1235,2020,2,2019,Post-Doctoral Research Fellow - High Energy Astrophysics,Post-doctoral Positions and Fellowships,Smithsonian Astrophysical Observatory,Government Agency,/ad/54ecb78e,United States of America
1236,1236,2022,8,2022,Postdoctoral position in observational exoplanet research,Post-doctoral Positions and Fellowships,Ariel University (AU),Large Academic,/ad/7f97f45e,Israel
1237,1237,2022,5,2021,Three Assistant Professors at Universidad de Atacama,Faculty Positions (tenure and tenure-track),Universidad de Atacama,Large Academic,/ad/0d51340c,Chile
1238,1238,2019,9,2019,Lecturer- FRB Research,Post-doctoral Positions and Fellowships,Curtin University,Large Academic,/ad/9b89088a,Australia
1239,1239,2020,2,2019,Controls Engineer for the University of California Observatories,Science Engineering,University of California Santa Cruz,Large Academic,/ad/1df84f86,United States of America
1240,1240,2019,8,2019,Instrumentation Engineer,Scientific/Technical Staff,AURA/Gemini,Other,/ad/27ff2fc3,Chile
1241,1241,2022,4,2021,international #researchers call,Other,Universidad Central de Chile,Large Academic,/ad/f21a0eb0,Chile
1242,1242,2020,2,2019,Postdoc in gamma-ray astronomy,Post-doctoral Positions and Fellowships,Deutsches Elektronen-Synchrotron DESY,Research Laboratory,/ad/6a771385,Germany
1243,1243,2019,11,2019,PhD in Multimessenger Astronomy - International Helmholtz Weizmann School on Multimessenger Astronomy,Other,DESY/ Weizmann Institute,Research Laboratory,/ad/83cd1020,Germany
1244,1244,2020,12,2020,Tenure Track Faculty Position in Exoplanets,Faculty Positions (tenure and tenure-track),University of Amsterdam (Netherlands),Large Academic,/ad/f26c03ef,Netherlands
1245,1245,2020,11,2020,Postdoctoral Position in Cosmology at Sejong University,Post-doctoral Positions and Fellowships,Sejong University,Small Academic,/ad/ba3aca53,Korea (Republic of)
1246,1246,2021,10,2021,Associate Director of Chile Operations,Science Management,AURA,Research Laboratory,/ad/23fbeb96,Chile
1247,1247,2021,10,2021,Postdoctoral Positions in Astrophysics at Shanghai Astronomical Observatory,Post-doctoral Positions and Fellowships,Shanghai Astronomical Observatory,Research Laboratory,/ad/c9da1388,China
1248,1248,2022,6,2022,Research Fellow - Star &amp; Planet Formation,Post-doctoral Positions and Fellowships,Monash University,Large Academic,/ad/88e8804b,Australia
1249,1249,2021,4,2020,"Research Scientist, Synthetic Photometry and Spectrophotometry",Scientific/Technical Staff,George Mason University,Large Academic,/ad/12d41bb6,United States of America
1250,1250,2021,11,2021,Postdoctoral position in Stellar Evolution and Interactions in Multiples,Post-doctoral Positions and Fellowships,University of Amsterdam,Foreign,/ad/d586abfd,Netherlands
1251,1251,2021,6,2021,Postdoctoral fellowship on the Gaia survey selection function,Post-doctoral Positions and Fellowships,INAF,Research Laboratory,/ad/9688a16e,Italy
1252,1252,2021,7,2021,SKA-Low Deputy Telescope Director,Science Management,CSIRO,Government Agency,/ad/9c52791a,Australia
1253,1253,2020,11,2020,Postdoctoral Position at NYU,Post-doctoral Positions and Fellowships,New York University,Large Academic,/ad/6bbaac0c,United States of America
1254,1254,2021,7,2021,IT specialist (male/female/other) (B.Sc. or “Fachinformatik”),Scientific/Technical Staff,Leibniz-Institut für Sonnenphysik (KIS),Other,/ad/927eada7,Germany
1255,1255,2021,8,2021,Post-doctoral Positions in Solar Physics (m/f/d),Post-doctoral Positions and Fellowships,Leibniz-Institut für Astrophysik Potsdam (AIP),Foreign,/ad/e61e405b,Germany
1256,1256,2021,9,2021,Staff Research Scientist in Molecular Spectroscopy and Astrochemistry,Faculty Positions (tenure and tenure-track),RIKEN,Foreign,/ad/899e35bb,Japan
1257,1257,2021,4,2020,PhD in observational cosmology,Pre-doctoral/Graduate Positions,Tartu University,Large Academic,/ad/9ddc729f,Estonia
1258,1258,2019,10,2019,"Technologist, WFIRST Coronagraph Instrument",Scientific/Technical Staff,Jet Propulsion Laboratory,Research Laboratory,/ad/face60b8,United States of America
1259,1259,2021,11,2021,Research Associate in Extragalactic Astrophysics,Post-doctoral Positions and Fellowships,Newcastle University,Large Academic,/ad/1a8bcb48,United Kingdom of Great Britain and Northern Ireland
1260,1260,2021,2,2020,Software Engineer,Science Engineering,SOFIA / Universities Space Research Association,Other,/ad/d569a0d1,United States of America
1261,1261,2019,7,2019,Observatory Engineer at the University of Wyoming,Scientific/Technical Staff,University of Wyoming,Small Academic,/ad/08aa0269,United States of America
1262,1262,2022,1,2021,Operations Staff Astronomer / Instrument Scientist,Faculty Positions (tenure and tenure-track),ESO European Southern Observatory,Other,/ad/41fa3b5c,Chile
1263,1263,2020,5,2019,Postdoctoral Research Fellow in Extragalactic and Stellar Astrophysics,Post-doctoral Positions and Fellowships,University of Warwick,Large Academic,/ad/12b1f886,United Kingdom of Great Britain and Northern Ireland
1264,1264,2020,9,2020,"Prize Postdoctoral Fellowships in Astrophysics, T.D.Lee Institute, Shanghai",Post-doctoral Positions and Fellowships,Tsung-Dao Lee Institute,Large Academic,/ad/e6a7ba38,China
1265,1265,2021,4,2020,Optical Systems Scientist (Research Scientist II),Scientific/Technical Staff,Georgia State University,Government Agency,/ad/b1670b2e,United States of America
1266,1266,2021,5,2020,Postdoctoral fellowships in stellar evolution and general relativity,Post-doctoral Positions and Fellowships,Diego Portales University,Foreign,/ad/61518189,Chile
1267,1267,2019,10,2019,Postdoctoral Position in ExtraGalactic Star Formation,Post-doctoral Positions and Fellowships,"University of Massachusetts, Amherst",Large Academic,/ad/162c45bf,United States of America
1268,1268,2021,10,2021,Postdoctoral Research Scholar in Observational Astrophysics and Computational Science ,Post-doctoral Positions and Fellowships,Arizona State University,Large Academic,/ad/7fac34f1,United States of America
1269,1269,2021,12,2021,Two faculty positions at Universidad Andrés Bello (Chile),Faculty Positions (tenure and tenure-track),Universidad Andres Bello,Large Academic,/ad/b2d43712,Chile
1270,1270,2021,12,2021,Director of Fermi National Accelerator Laboratory,Other,Fermi National Accelerator Laboratory,Research Laboratory,/ad/0284b3e5,United States of America
1271,1271,2020,6,2020,Tenure-track positions in astrophysics at Zhejiang University,Faculty Positions (tenure and tenure-track),Zhejiang University,Large Academic,/ad/f727897f,China
1272,1272,2022,8,2022,Resident Astronomer Position,Scientific/Technical Staff,Universidad Nacional Autónoma de México,Large Academic,/ad/73bf2821,Mexico
1273,1273,2021,2,2020,Technical Assistant II U of M Data Analyst,Scientific/Technical Staff,University of Massachusetts Amherst,Large Academic,/ad/ace2a5d8,United States of America
1274,1274,2022,3,2021,"Two Prize-Postdoc Fellowships, University of Nevada, Las Vegas",Post-doctoral Positions and Fellowships,"University of Nevada, Las Vegas",Large Academic,/ad/64a2a4e2,United States of America
1275,1275,2019,9,2019,Postdoc Position in Neutron Star Mergers,Post-doctoral Positions and Fellowships,Peking University,Large Academic,/ad/e154eedf,China
1276,1276,2019,10,2019,Postdoctoral Scholar- In Nearby Galaxy Studies,Post-doctoral Positions and Fellowships,University of Washington,Large Academic,/ad/5d1cf50d,United States of America
1277,1277,2022,1,2021,Postdoctoral Fellow - Star Formation at Canada-France-Hawaii Telescope (SIGNALS Survey),Post-doctoral Positions and Fellowships,Canada-France-Hawaii Telescope Corporation,Research Laboratory,/ad/b33e15bf,United States of America
1278,1278,2021,9,2021,Lowell Observatory Prize Postdoctoral Fellowship,Post-doctoral Positions and Fellowships,Lowell Observatory,Research Laboratory,/ad/e9e71f5f,United States of America
1279,1279,2022,5,2021,Support Scientist in The Imaging X-ray Polarimetry Explorer (IXPE) Guest Observer Facility (GOF),Post-doctoral Positions and Fellowships,University of MD Baltimore Co / NASA / GSFC / CRESST II,Research Laboratory,/ad/c9c07832,United States of America
1280,1280,2019,10,2019,Head of Instrumentation,Science Engineering,Lowell Observatory,Other,/ad/0bb5aa9e,United States of America
1281,1281,2020,4,2019,Professor / Associate Professor in Astronomy,Faculty Positions (tenure and tenure-track),University of Cape Town,Large Academic,/ad/a4c4f460,South Africa
1282,1282,2020,11,2020,Senior Software Engineer - #0001849,Scientific/Technical Staff,Space Telescope Science Institute,Industry,/ad/20785e3a,United States of America
1283,1283,2021,11,2021,Postdoctoral Fellowships in Observational Radio Astronomy and Radio Astronomy Techniques &amp; Technologies,Post-doctoral Positions and Fellowships,Centre for Radio Astronomy Techniques &amp; Technologies (RATT),Large Academic,/ad/a93aea0a,South Africa
1284,1284,2021,10,2021,Post-doctoral research fellow in Star Formation,Post-doctoral Positions and Fellowships,University of Leeds,Large Academic,/ad/ad234f2c,United Kingdom of Great Britain and Northern Ireland
1285,1285,2021,7,2021,Postdoctoral Fellowships at Universidad de Chile,Post-doctoral Positions and Fellowships,Universidad de Chile,Large Academic,/ad/2bb5e30a,Chile
1286,1286,2020,5,2019,Two Assistant Professors at Universidad de Atacama,Faculty Positions (tenure and tenure-track),Universidad de Atacama,Large Academic,/ad/c5e893dd,Chile
1287,1287,2021,1,2020,"Graduate Fellowships, Center for Matter at Atomic Pressures (CMAP)",Pre-doctoral/Graduate Positions,University of Rochester,Large Academic,/ad/593b642c,United States of America
1288,1288,2019,12,2019,Postdoctoral Research Position in Astrochemistry,Post-doctoral Positions and Fellowships,Harvard University,Large Academic,/ad/aa4ed1d0,United States of America
1289,1289,2020,3,2019,Lightkurve and Astropy Timeseries Software Developer,Other,NumFocus,Other,/ad/d60dec18,United States of America
1290,1290,2020,10,2020,Postdoctoral in Observational Cosmology &amp; Rubin Observatory,Post-doctoral Positions and Fellowships,Harvard University,Large Academic,/ad/3cd9d2f2,United States of America
1291,1291,2021,9,2021,Tenure track position in Department of physics at National Taiwan University,Faculty Positions (tenure and tenure-track),National Taiwan University,Foreign,/ad/7226df0c,Taiwan
1292,1292,2020,8,2020,Staff Scientist,Scientific/Technical Staff,Caltech/IPAC,Small Academic,/ad/c457031b,United States of America
1293,1293,2022,1,2021,Assistant Research Professor Position in Support of JWST Debris Disk Programs,Post-doctoral Positions and Fellowships,University of Arizona,Large Academic,/ad/b122b3bc,United States of America
1294,1294,2019,9,2019,Assistant Professor – Physics,Faculty Positions (tenure and tenure-track),Southern Connecticut State University,Large Academic,/ad/ce62592e,United States of America
1295,1295,2021,2,2020,Postdoctoral position in Galactic Archeology and Pulsating Variable Stars,Post-doctoral Positions and Fellowships,Research Centre for Astronomy and Earth Sciences (CSFK),Large Academic,/ad/c5dc5c1d,Hungary
1296,1296,2019,10,2019,Postdoctoral Researcher (m/f/d),Post-doctoral Positions and Fellowships,Ludwig-Maximilians-Universität,Large Academic,/ad/b744fba0,Germany
1297,1297,2021,5,2020,Postdoctoral Position,Post-doctoral Positions and Fellowships,Max Planck Institute for Extraterrestrial Physics,Foreign,/ad/7198ed12,Germany
1298,1298,2019,9,2019,Scientist (Open Rank),Scientific/Technical Staff,Green Bank Observatory / AUI,Research Laboratory,/ad/8431b12e,United States of America
1299,1299,2021,6,2021,Assistant Site Manager,Other,Georgia State University,Government Agency,/ad/edd1520f,United States of America
1300,1300,2021,4,2020,Postdoctoral position on Milky Way Models and Simulations in the Gaia Era,Post-doctoral Positions and Fellowships,Observatoire de la Côte d'Azur,Large Academic,/ad/dfac8d82,France
1301,1301,2021,12,2021,Research Fellow - Optical Astronomy,Post-doctoral Positions and Fellowships,Monash University,Large Academic,/ad/95bd5581,Australia
1302,1302,2019,8,2019,Education and Public Outreach Technologist,Scientific/Technical Staff,Sonoma State University,Small Academic,/ad/522c36a1,United States of America
1303,1303,2019,10,2019,GCCL Fellowship Programme,Post-doctoral Positions and Fellowships,Ruhr-University Bochum,Foreign,/ad/9954ffb6,Germany
1304,1304,2020,10,2020,Postdoc Positions in Exoplanets at Shanghai Astronomical Observatory,Post-doctoral Positions and Fellowships,Shanghai Astronomical Observatory,Research Laboratory,/ad/9a0b3b49,China
1305,1305,2021,9,2021,Postdoctoral Position in Stellar Astrophysics ,Post-doctoral Positions and Fellowships,Kavli Institute for Theoretical Physics,Large Academic,/ad/370b27ec,United States of America
1306,1306,2020,2,2019,Electronics Engineer ,Science Engineering,Smithsonian Astrophysical Observatory,Government Agency,/ad/4569035c,United States of America
1307,1307,2020,4,2019,NASA Goddard Research Astrophysicist,Scientific/Technical Staff,NASA Goddard Space Flight Center,Government Agency,/ad/74236010,United States of America
1308,1308,2021,11,2021,Postdoctoral Position in Observational Cosmology,Post-doctoral Positions and Fellowships,Max Planck Institute for Extraterrestrial Physics,Foreign,/ad/86104192,Germany
1309,1309,2022,2,2021,Technical Project Manager,Science Management,California Institute of Technology,Large Academic,/ad/2ae175bd,United States of America
1310,1310,2022,3,2021,Senior Process Engineer,Science Engineering,Cardiff University,Large Academic,/ad/b5d8ce6d,United Kingdom of Great Britain and Northern Ireland
1311,1311,2020,2,2019,Postdoctoral Research Scientist in Astronomy,Post-doctoral Positions and Fellowships,Columbia University,Large Academic,/ad/8f678edf,United States of America
1312,1312,2020,2,2019,Advanced Technology &amp; Instrumentation Project Manager - ID# 220056,Science Management,Research Corporation of the University of Hawaii,Other,/ad/ab4909d9,United States of America
1313,1313,2020,10,2020,Postdoctoral Positions in Machine Learning and Cosmology,Post-doctoral Positions and Fellowships,University of Montreal,Large Academic,/ad/a6071b13,Canada
1314,1314,2022,5,2021, Assistant professor in Astronomy/Astrophysics/Space science/Climate physics,Faculty Positions (tenure and tenure-track),Sultan Qaboos Unviersity,Large Academic,/ad/ac11fa38,Oman
1315,1315,2021,3,2020,"Postdoctoral Fellow, Observing Science Using the VLA",Post-doctoral Positions and Fellowships,SETI Institute,Other,/ad/63e18437,United States of America
1316,1316,2019,11,2019,"Post-doctoral Position in Multi-Wavelength Astrophysics within the Centre for Space Research, South Africa",Post-doctoral Positions and Fellowships,North-West University,Foreign,/ad/6d985097,South Africa
1317,1317,2021,10,2021,Three postdoctoral Fellowships in observational cosmology on the Zwicky Transient Factory,Post-doctoral Positions and Fellowships,CNRS/IN2P3,Large Academic,/ad/da10aa8b,France
1318,1318,2020,10,2020,Tsinghua Astrophysics Outstanding (TAO) Fellow,Post-doctoral Positions and Fellowships,Tsinghua University,Large Academic,/ad/52e953bd,China
1319,1319,2021,2,2020,Deputy Director for Science,Science Management,Lowell Observatory,Other,/ad/21423939,United States of America
1320,1320,2021,10,2021,NAOJ Postdoctoral Researcher Stationed at Tokyo Metropolitan University,Post-doctoral Positions and Fellowships,Tokyo Metropolitan University/NAOJ,Foreign,/ad/94cca4a7,Japan
1321,1321,2021,10,2021,Lecturer in Discipline/ Columbia Science Fellow,Post-doctoral Positions and Fellowships,Columbia College,Large Academic,/ad/94de8064,United States of America
1322,1322,2021,11,2021,Lead Research Scientist for the Swift Guest Investigator Program,Faculty Positions (visiting and non-tenure),"University of Maryland, Baltimore County",Government Agency,/ad/55aca42c,United States of America
1323,1323,2021,11,2021,Weak Gravitational Lensing in the JWST COSMOS-Webb Survey,Post-doctoral Positions and Fellowships,Jet Propulsion Laboratory/NASA,Research Laboratory,/ad/40be14f0,United States of America
1324,1324,2022,7,2022,Research Associate in Information Technology ,Post-doctoral Positions and Fellowships,Thüringer Landessternwarte,Large Academic,/ad/cad7d0a6,Germany
1325,1325,2019,9,2019,Assistant Professor at Montana State,Faculty Positions (tenure and tenure-track),Montana State University,Large Academic,/ad/501b56b0,United States of America
1326,1326,2019,11,2019,Assistant Professor - Astronomy/Astrophysics,Faculty Positions (tenure and tenure-track),Bowling Green State University,Large Academic,/ad/faff7ab8,United States of America
1327,1327,2021,10,2021, Astronomer - AER0005KR,Science Engineering,Jacobs Space Exploration Group,Industry,/ad/7ef645e4,United States of America
1328,1328,2020,5,2019,VLA/VLBA Science Support Division Head,Science Management,National Radio Astronomy Observatory,Research Laboratory,/ad/fe135c9a,United States of America
1329,1329,2021,4,2020,Postdoctoral Researcher in Astrophysics,Post-doctoral Positions and Fellowships,Villanova University,Large Academic,/ad/84f07729,United States of America
1330,1330,2020,11,2020,2021A Post Doctoral Research Position in KASI,Post-doctoral Positions and Fellowships,Korea Astronomy and Space Science Institute,Foreign,/ad/32aab1ab,Korea (Republic of)
1331,1331,2019,9,2019,Postdoctoral Associate,Post-doctoral Positions and Fellowships,Massachusetts Institute of Technology,Large Academic,/ad/5ad9b5e9,United States of America
1332,1332,2022,4,2021,Postdoctoral position in stellar analysis for 4MOST,Post-doctoral Positions and Fellowships,Stockholm University,Large Academic,/ad/b8e70a58,Sweden
1333,1333,2020,6,2020,PhD positions in astrophysics,Pre-doctoral/Graduate Positions,The Nicolaus Copernicus Astronomical Center,Small Academic,/ad/3a9a3995,Poland
1334,1334,2019,8,2019,Postdoctoral Research Fellow,Post-doctoral Positions and Fellowships,George Mason University,Large Academic,/ad/d8409790,United States of America
1335,1335,2020,6,2020,PhD scholarships in astrophysics,Pre-doctoral/Graduate Positions,Macquarie University,Large Academic,/ad/fcda1266,Australia
1336,1336,2022,1,2021,Open Rank/Tenure Track Faculty in Astronomy 2022-2023,Faculty Positions (tenure and tenure-track),Rose-Hulman Institute of Technology,Small Academic,/ad/e67a9b2a,United States of America
1337,1337,2021,12,2021,One postdoctoral contract IFUSPECPN 2021 (PS-2021-104),Post-doctoral Positions and Fellowships,Instituto de Astrofísica de Canarias,Government Agency,/ad/b392956a,Spain
1338,1338,2020,11,2020,Postdoctoral position,Post-doctoral Positions and Fellowships,Max Planck Institute for Extraterrestrial Physics,Foreign,/ad/5a6a98bc,Germany
1339,1339,2021,2,2020,Two academic staff positions in Astrophysics at University of Warwick,Faculty Positions (tenure and tenure-track),University of Warwick,Large Academic,/ad/f8698d85,United Kingdom of Great Britain and Northern Ireland
1340,1340,2020,11,2020,Assistant Scientist,Scientific/Technical Staff,AURA,Other,/ad/b123917c,United States of America
1341,1341,2019,11,2019,Full Professor at the JASMINE Porject of NAOJ(National Astronomical Observatory of Japan),Faculty Positions (tenure and tenure-track),National Astronomical Observatory of Japan,Foreign,/ad/f34f4487,Japan
1342,1342,2020,2,2019,NOVA and ERC-funded Postdoctoral Research Position,Post-doctoral Positions and Fellowships,University of Groningen,Large Academic,/ad/cb8f34e3,Netherlands
1343,1343,2020,3,2019,M1 Control System Technical Project Manager,Science Engineering,"TMT International Observatory, LLC",Other,/ad/30731eb0,United States of America
1344,1344,2021,5,2020, Solar Energy Innovators Program,Post-doctoral Positions and Fellowships,ORAU,Other,/ad/15f4a830,United States of America
1345,1345,2021,8,2021,"Full Professor, National Astronomical Observatory of Japan (NAOJ)",Faculty Positions (tenure and tenure-track),National Astronomical Observatory of Japan (NAOJ),Foreign,/ad/335e5fe2,Japan
1346,1346,2021,12,2021,Postdoctoral Associate,Post-doctoral Positions and Fellowships,Massachusetts Institute of Technology,Large Academic,/ad/c321bd46,United States of America
