,i,year,month,acyear,title,category,inst,instclass,url,country,postalcode
999,999,2019,10,2019,Postdoctoral Researcher in Low-Frequency Gravitational Waves,Post-doctoral Positions and Fellowships,University of Wisconsin-Milwaukee,Large Academic,/ad/c1bb2a9a,United States of America,53202
1000,1000,2022,10,2022,Assistant Professor in Physics (Astrophysics or Cosmology),Faculty Positions (tenure and tenure-track),Southern Methodist University,Small Academic,/ad/7d0c5d78,United States of America,75205
1001,1001,2021,10,2021,Three postdoctoral Fellowships in observational cosmology on the Zwicky Transient Factory,Post-doctoral Positions and Fellowships,CNRS/IN2P3,Large Academic,/ad/da10aa8b,France,
1002,1002,2020,5,2019,Research Astrophysicist in Ultraviolet Science and Technology,Scientific/Technical Staff,NASA Goddard Space Flight Center,Government Agency,/ad/3a9b7786,United States of America,20771
1003,1003,2022,9,2022,Astrophysicist/Physicist/Engineer (m/f/d) Ref.No. 346,Faculty Positions (tenure and tenure-track),Max Planck Institute for Astronomy,Large Academic,/ad/23ed29fc,Germany,69117
1004,1004,2020,8,2020,Chamberlain Fellow ,Post-doctoral Positions and Fellowships,Lawrence Berkeley National Laboratory,Research Laboratory,/ad/d95fd676,United States of America,94720
1005,1005,2020,9,2020,Postdoctoral Associate Positions in Observational Astronomy &amp; Astrophysics,Post-doctoral Positions and Fellowships,Northwestern University,Large Academic,/ad/f7c112b4,United States of America,60201
1006,1006,2023,4,2022,Post-doctoral Positions and Fellowships,Post-doctoral Positions and Fellowships,Radboud University,Large Academic,/ad/66c8b1da,Netherlands,
1007,1007,2023,1,2022,LEAPS - Leiden Observatory/ESA Astrophysics Program for Summer Students,Pre-doctoral/Graduate Positions,Leiden University,Large Academic,/ad/5d8f809c,Netherlands,2333CA
1008,1008,2021,3,2020,"4 PhD positions at KU Leuven, Belgium: Binaries, Winds and Gravitational Waves (incl. instrumentation)",Pre-doctoral/Graduate Positions,KU Leuven,Large Academic,/ad/f365217c,Belgium,3001
1009,1009,2022,4,2021,"PDRA, Exoplanet Astrophysics",Post-doctoral Positions and Fellowships,The Open University,Large Academic,/ad/48cf4a16,United Kingdom of Great Britain and Northern Ireland,
1010,1010,2022,8,2022,One Postdoctoral Contract LCOGT 2022 (PS-2022-078),Post-doctoral Positions and Fellowships,Instituto de Astrofísica de Canarias,Government Agency,/ad/33cf01d6,Spain,
1011,1011,2022,9,2022,We Are Delivering Scientific Excellence,Post-doctoral Positions and Fellowships,Los Alamos National Laboratory,Government Agency,/ad/ae89c66a,United States of America,
1012,1012,2022,5,2021,Head of Systems Engineering &amp; Project Management,Science Management,AURA/NOIRLab,Other,/ad/306c76a3,United States of America,
1013,1013,2022,2,2021,Postdoc position on developing the alignment control for the ET(-pathfinder) mirrors,Post-doctoral Positions and Fellowships,KU Leuven,Large Academic,/ad/abbdaa5f,Belgium,3001
1014,1014,2019,8,2019,James Webb Space Telescope Postdoctoral Fellowships at NASA’s Goddard Space Flight Center,Post-doctoral Positions and Fellowships,NASA's Goddard Space Flight Center,Government Agency,/ad/2ec475f4,United States of America,20770
1015,1015,2021,1,2020,"Graduate Fellowships, Center for Matter at Atomic Pressures (CMAP)",Pre-doctoral/Graduate Positions,University of Rochester,Large Academic,/ad/593b642c,United States of America,14627
1016,1016,2021,11,2021,Tenure-Track Faculty Position,Faculty Positions (tenure and tenure-track),The University of Alabama in Huntsville,Small Academic,/ad/c5ca9b80,United States of America,35899
1017,1017,2022,12,2022,Postdoctoral Research Associate (2 opendings),Post-doctoral Positions and Fellowships,University of Arizona,Large Academic,/ad/995f0608,United States of America,85721
1018,1018,2021,5,2020,Postdoctoral Research Fellow in Radio Astronomy and Space Science,Post-doctoral Positions and Fellowships,UAE University,Large Academic,/ad/2bde5065,United Arab Emirates,
1019,1019,2020,9,2020,"Tenure-track Faculty Position in Cosmology, Cornell University",Faculty Positions (tenure and tenure-track),Cornell University,Large Academic,/ad/86b0eff3,United States of America,14853
1020,1020,2019,10,2019,Professor in Physics,Faculty Positions (tenure and tenure-track),University of Bath,Large Academic,/ad/fe0eb427,United Kingdom of Great Britain and Northern Ireland,BA2 7AY
1021,1021,2019,7,2019,"Postdoctoral Position in Star Formation at AIM Paris-Saclay, France",Post-doctoral Positions and Fellowships,CEA Paris-Saclay,Research Laboratory,/ad/cbdf17a6,France,F-91191
1022,1022,2019,7,2019,Senior Software Engineer,Other,AURA/LSST,Other,/ad/cf1944b0,Chile,
1023,1023,2019,8,2019,"NASA Postdoctoral Fellowship - Application Deadline November 1, 2019",Post-doctoral Positions and Fellowships,NASA / Universities Space Research Assocaition,Other,/ad/6ec36095,United States of America,21046
1024,1024,2022,4,2021,Call for at least one tenure track position in astronomy/astrophysics.,Faculty Positions (tenure and tenure-track),Universidad Católica del Norte,Large Academic,/ad/5d5e0b6f,Chile,
1025,1025,2021,7,2021,Several PhD Positions in Astronomy &amp; Astrophysics,Pre-doctoral/Graduate Positions,International Max Planck Research School Heidelberg,Foreign,/ad/7c8734c2,Germany,69117
1026,1026,2021,12,2021,Controls Engineer,Science Engineering,TMT International Observatory LLC,Other,/ad/08aaf9d1,United States of America,
1027,1027,2022,5,2021,Applications Developer,Scientific/Technical Staff,Caltech,Small Academic,/ad/c2e4d749,United States of America,91125
1028,1028,2021,10,2021,PostDoc Position in Galaxy Formation - NYUAD with Macciò,Post-doctoral Positions and Fellowships,New York University Abu Dhabi,Large Academic,/ad/457ac6ae,United Arab Emirates,
1029,1029,2022,11,2022,Nevada Center for Astrophysics Postdoctoral Fellowship,Post-doctoral Positions and Fellowships,University of Nevada Las Vegas,Large Academic,/ad/1ef985eb,United States of America,89154-4002
1030,1030,2023,1,2022,"Mechanical Engineer, McDonald Observatory, UT Austin",Science Engineering,The University of Texas at Austin,Large Academic,/ad/82cc1297,United States of America,78712
1031,1031,2019,11,2019,Postdoctoral position on Radio transients and gravitational-wave events,Post-doctoral Positions and Fellowships,"ASTRON, the Netherlands institute for Radio Astronomy",Foreign,/ad/01162d4a,Netherlands,7991 PD
1032,1032,2022,11,2022,Postdoctoral Researcher in survey cosmology,Post-doctoral Positions and Fellowships,University of Arizona/Steward Observatory,Large Academic,/ad/30957ec7,United States of America,
1033,1033,2023,4,2022,DIAS Research Fellowship in Astronomical Instrumentation,Post-doctoral Positions and Fellowships,Dublin Institute for Advanced Studies,Small Academic,/ad/f77ec873,Ireland,D02 XF86
1034,1034,2023,1,2022,2023 Space Astronomy Summer Program,Pre-doctoral/Graduate Positions,Space Telescope Science Institute,Large Academic,/ad/bb8b02e5,United States of America,21218
1035,1035,2019,12,2019,Staff Scientist in Astronomy or Planetary Science,Faculty Positions (tenure and tenure-track),Carnegie Institution for Science,Other,/ad/00219bbb,United States of America,20015
1036,1036,2022,10,2022,Postdoctoral Fellowships in observational cosmology on the Zwicky Transient Factory,Post-doctoral Positions and Fellowships,CNRS/IN2P3,Research Laboratory,/ad/fb61e6a0,France,13009
1037,1037,2021,11,2021,Gas and galaxy evolution in different environments,Post-doctoral Positions and Fellowships,INAF-Astronomical Observatory of Padova,Research Laboratory,/ad/286a21b4,Italy,35136
1038,1038,2022,2,2021,Observational Astrochemistry Postdoctoral Fellow - ID# 222075,Post-doctoral Positions and Fellowships,Institute for Astronomy,Research Laboratory,/ad/def3a6e3,United States of America,
1039,1039,2023,3,2022,PostDoc opportunity to work with survey data,Post-doctoral Positions and Fellowships,"Instituto de Astronomia, Geofísica e Ciências Atmosféricas da USP -  Rua do Matão, 1226 - São Paulo/SP - CEP: 05508-090 - CNPJ: 63.025.530/0036-34 - Laerte Sodré Júnior - FAPESP RTP 2011/51680-6",Government Agency,/ad/6b72b047,Brazil,05508-090
1040,1040,2023,2,2022,Research Scientist - National Center for Supercomputing Applications,Scientific/Technical Staff,University of Illinois Urbana-Champaign,Large Academic,/ad/3758c9d4,United States of America,61801
1041,1041,2022,1,2021,Applications Developer NEO Surveyor,Scientific/Technical Staff,Caltech,Small Academic,/ad/9ad78772,United States of America,91125
1042,1042,2020,10,2020,NAOJ Postdoctoral Researcher (ALMA) Stationed at Kindai University,Post-doctoral Positions and Fellowships,Kindai University/NAOJ,Foreign,/ad/4ad95a7d,Japan,
1043,1043,2019,12,2019,ASTRO 3D Postdoctoral Research Associate,Post-doctoral Positions and Fellowships,Swinburne University of Technology,Large Academic,/ad/88f8df4e,Australia,3122
1044,1044,2019,11,2019,"Postdoc position on Galaxy evolution - Valongo Observatory, Rio de Janeiro, Brazil",Post-doctoral Positions and Fellowships,"Valongo Observatory, Federal University of Rio de Janeiro",Foreign,/ad/e7e8e6d7,Brazil,20080-090
1045,1045,2023,1,2022,Postdoctoral Position in Cosmology,Post-doctoral Positions and Fellowships,Center for Theoretical Physics PAS,Research Laboratory,/ad/0b52de1d,Poland,00-668
1046,1046,2022,4,2021,PhD position in Observational Cosmology,Pre-doctoral/Graduate Positions,Ecole Polytechnique Fédérale de Lausanne,Research Laboratory,/ad/c59b4145,Switzerland,1015
1047,1047,2021,11,2021,Postdoctoral Fellowship Position Jointly Appointed between Northwestern University’s CIERA and The Adler Planetarium,Post-doctoral Positions and Fellowships,Northwestern University / The Adler Planetarium,Large Academic,/ad/6644d399,United States of America,60201 / 60605
1048,1048,2021,1,2020,University Lectureship in Experimental Astrophysics,Faculty Positions (tenure and tenure-track),University of Cambridge,Large Academic,/ad/f599465d,United Kingdom of Great Britain and Northern Ireland,CB3 0HE
1049,1049,2020,11,2020,Assistant Scientist,Scientific/Technical Staff,AURA,Other,/ad/b123917c,United States of America,
1050,1050,2020,2,2019,Postdoctoral Position in Extragalactic Astronomy at Universidad de Valparaiso,Post-doctoral Positions and Fellowships,Universidad de Valparaiso,Large Academic,/ad/06d9b33e,Chile,
1051,1051,2021,9,2021,Junior Postdoctoral Fellowships at the Institute of Space Sciences.,Post-doctoral Positions and Fellowships,Institute of Space Sciences,Government Agency,/ad/f6c195dc,Spain,
1052,1052,2019,9,2019,Assistant Professor – Physics,Faculty Positions (tenure and tenure-track),Southern Connecticut State University,Large Academic,/ad/ce62592e,United States of America,06515
1053,1053,2019,10,2019,Postdoctoral Fellowship in Astrophysics,Post-doctoral Positions and Fellowships,Niels Bohr International Academy,Foreign,/ad/e161efe5,Denmark,2100
1054,1054,2022,11,2022,Postdoctoral positions in Astrophysics &amp; Cosmology,Post-doctoral Positions and Fellowships,Technion - Israel Institute of Technology,Large Academic,/ad/86b999a4,Israel,
1055,1055,2019,11,2019,ERC-funded postdoctoral position in Strong Gravitational Lensing and Numerical Simulation,Post-doctoral Positions and Fellowships,EPFL School of Basic Sciences,Large Academic,/ad/9cc6f5e6,Switzerland,1015
1056,1056,2020,5,2019,Postdoctoral Researcher in Planetary Magnetospheric Physics,Post-doctoral Positions and Fellowships,CRESST II Program/NASA/Goddard Space Flight Center,Other,/ad/bb0cf722,United States of America,20771
1057,1057,2021,6,2021,N. D. Goldsworthy Scholarship for Physics at the University of Melbourne,Pre-doctoral/Graduate Positions,The University of Melbourne,Large Academic,/ad/e5841b1a,Australia,3046
1058,1058,2021,11,2021,UK ALMA Regional Centre Node Scientist,Post-doctoral Positions and Fellowships,The University of Manchester,Large Academic,/ad/2244341b,United Kingdom of Great Britain and Northern Ireland,M13 9PL
1059,1059,2020,1,2019,Adaptive Optics Scientist,Science Engineering,GMTO Corporation,Industry,/ad/ea619f95,United States of America,91107
1060,1060,2020,2,2019,Postdoctoral Position in Cosmology,Post-doctoral Positions and Fellowships,Johns Hopkins University,Large Academic,/ad/ec38c143,United States of America,21218
1061,1061,2019,8,2019,"Associate Professor, National Astronomical Observatory of Japan (NAOJ)",Faculty Positions (tenure and tenure-track),National Astronomical Observatory of Japan,Foreign,/ad/c0d5925d,Japan,181-8588
1062,1062,2020,10,2020,ERC-funded postdoctoral positions in gravitational wave astronomy,Post-doctoral Positions and Fellowships,University of Padova,Large Academic,/ad/a2d1edad,Italy,35122
1063,1063,2022,11,2022,Postdoctoral Researcher in Nearby Galaxies and Resolved Stellar Populations,Post-doctoral Positions and Fellowships,The University of Tampa,Large Academic,/ad/8d410ae6,United States of America,33606
1064,1064,2021,9,2021,Postdoctoral Research Fellow,Post-doctoral Positions and Fellowships,University of Chicago,Large Academic,/ad/02430a57,United States of America,60637
1065,1065,2022,5,2021,Three Assistant Professors at Universidad de Atacama,Faculty Positions (tenure and tenure-track),Universidad de Atacama,Large Academic,/ad/0d51340c,Chile,
1066,1066,2021,3,2020,Research Positions at STScI – Astronomer/Scientist Track combined- #0002107,Faculty Positions (tenure and tenure-track),Space Telescope Science Institute,Other,/ad/fa028650,United States of America,
1067,1067,2021,10,2021,Post-doctoral offer to generate galaxy mock catalogues for up-coming cosmological surveys,Post-doctoral Positions and Fellowships,Universidad Autónoma de Madrid,Foreign,/ad/c0cbac08,Spain,28049
1068,1068,2021,7,2021,"FONDECYT postdoctoral research projects in Physics, Astronomy, and Physics Education at Universidad Metropolitana de Ciencias de la Educación (UMCE, Santiago, Chile)",Post-doctoral Positions and Fellowships,Universidad Metropolitana de Ciencias de la Educación (UMCE),Small Academic,/ad/10fb935c,Chile,
1069,1069,2019,12,2019,Postdoctoral position in Observational Cosmology,Post-doctoral Positions and Fellowships,The University of Melbourne,Foreign,/ad/1c17251f,Australia,3010
1070,1070,2022,12,2022,Telescope Instrumentation Engineer,Science Engineering,Simons Observatory,Large Academic,/ad/b797faf0,United States of America,
1071,1071,2022,10,2022,Postdoctoral Research Position in UV Experimental Astrophysics,Post-doctoral Positions and Fellowships,Caltech,Large Academic,/ad/60326a27,United States of America,
1072,1072,2021,10,2021,Associate Director of Chile Operations,Science Management,AURA,Research Laboratory,/ad/23fbeb96,Chile,
1073,1073,2020,11,2020,Faculty positions,Faculty Positions (tenure and tenure-track),Indian Institute of Astrophysics,Large Academic,/ad/fea773bc,India,
1074,1074,2019,11,2019,"Post-doctoral Position in Multi-Wavelength Astrophysics within the Centre for Space Research, South Africa",Post-doctoral Positions and Fellowships,North-West University,Foreign,/ad/6d985097,South Africa,2531
1075,1075,2022,1,2021,Post-Doctoral Position in Outreach,Post-doctoral Positions and Fellowships,University of California Riverside,Large Academic,/ad/c9b98f6a,United States of America,92521
1076,1076,2022,2,2021,Solar Physicist ,Scientific/Technical Staff,The European Space Agency (ESA),Foreign,/ad/edf1f8ec,Netherlands,
1077,1077,2021,12,2021,Research expert in exoplanet modelling,Post-doctoral Positions and Fellowships,KU Leuven + Royal Observatory of Belgium,Large Academic,/ad/4abdf669,Belgium,3001
1078,1078,2020,1,2019,Postdoc position in radio astronomy ,Post-doctoral Positions and Fellowships,Thüringer Landessternwarte Tautenburg,Large Academic,/ad/9d43376b,Germany,
1079,1079,2021,9,2021,Carnegie-Princeton Postdoctoral Fellowship,Post-doctoral Positions and Fellowships,Princeton University/Observatories of the Carnegie Institution for Science,Small Academic,/ad/6829700b,United States of America,
1080,1080,2020,12,2020,Postdoctoral position on Gaia survey selection function,Post-doctoral Positions and Fellowships,Leiden University,Large Academic,/ad/b5affc05,Netherlands,2333 CA
1081,1081,2022,10,2022,Telescope Operator / Data Analyst - SKA-Low Telescope,Scientific/Technical Staff,SKAO,Other,/ad/144b8dee,Australia,
1082,1082,2019,12,2019,Post-doctoral Positions and Fellowships,Post-doctoral Positions and Fellowships,Xiamen University,Large Academic,/ad/9a5aa4f0,China,
1083,1083,2022,11,2022,Postdoctoral Position in Machine Learning and Astrophysics,Post-doctoral Positions and Fellowships,Heidelberg University,Large Academic,/ad/f66ea2f3,Germany,69120
1084,1084,2023,1,2022,Postdoctoral position in stellar astrophysics ,Post-doctoral Positions and Fellowships,"CEICO, Institute of Physics, Czech Academy of Sciences",Large Academic,/ad/fd892d48,Czech Republic,
1085,1085,2019,9,2019,Research Associate III,Post-doctoral Positions and Fellowships,The University of Alabama in Huntsville,Large Academic,/ad/3012b5d5,United States of America,35899
1086,1086,2022,11,2022,Research Associate (SIMONS OBSERVATORY:UK PROJECT),Post-doctoral Positions and Fellowships,University of Manchester,Large Academic,/ad/9c37814d,United Kingdom of Great Britain and Northern Ireland,
1087,1087,2023,1,2022,Permanent research position in cosmological simulations,Faculty Positions (tenure and tenure-track),CEA Paris-Saclay,Large Academic,/ad/260c2e86,France,
1088,1088,2020,12,2020,Postdoctoral Researcher in Extragalactic Astrophysics: high-z/EoR focus ,Post-doctoral Positions and Fellowships,Stockholm University,Large Academic,/ad/3201a64f,Sweden,10691
1089,1089,2020,6,2020,PhD scholarships in astrophysics,Pre-doctoral/Graduate Positions,Macquarie University,Large Academic,/ad/fcda1266,Australia,
1090,1090,2019,9,2019,"Postdoctoral Positions in Astrophysical Sciences, Princeton University",Post-doctoral Positions and Fellowships,Princeton University,Small Academic,/ad/d1274d39,United States of America,
1091,1091,2020,3,2019,Lightkurve and Astropy Timeseries Software Developer,Other,NumFocus,Other,/ad/d60dec18,United States of America,
1092,1092,2021,10,2021,Postdoctoral position on massive black hole astrophysics and numerical simulations,Post-doctoral Positions and Fellowships,Institut d'Astrophysique de Paris/CNRS,Research Laboratory,/ad/0993aba0,France,75014
1093,1093,2020,11,2020,Postdoctoral Research Associate,Post-doctoral Positions and Fellowships,University of Virginia,Large Academic,/ad/72e3adf1,United States of America,22904
1094,1094,2020,1,2019,Postdoctoral position in observational cosmology,Post-doctoral Positions and Fellowships,Aix-Marseille University / CNRS-IN2P3,Large Academic,/ad/ba358d9a,France,13009
1095,1095,2020,10,2020,Postdoctoral Scholar Positions in Gravitational-Wave Astrophysics,Post-doctoral Positions and Fellowships,The University of Tokyo,Large Academic,/ad/63c792a0,Japan,113-0033
1096,1096,2021,10,2021,Postdoctoral Fellowships at KIAA/Peking University,Post-doctoral Positions and Fellowships,Peking University,Large Academic,/ad/203b3008,China,
1097,1097,2022,10,2022,Lecturer in Astronomy,Faculty Positions (visiting and non-tenure),Towson University,Large Academic,/ad/b2ecbac3,United States of America,21252
1098,1098,2020,9,2020,Postdoc Position Infrared Group,Post-doctoral Positions and Fellowships,Max Planck Institute for Extraterrestrial Physics,Foreign,/ad/85068f34,Germany,
1099,1099,2020,5,2019,2020 B  Post Doctoral Research Position in KASI,Post-doctoral Positions and Fellowships,Korea Astronomy and Space Science Institute,Foreign,/ad/7062d6d7,Korea (Republic of),
1100,1100,2021,8,2021,ESO Fellowship Programme 2021/ 2022,Post-doctoral Positions and Fellowships,European Southern Observatory,Other,/ad/6dd0a6dd,Chile,
1101,1101,2022,11,2022,"Assistant Professor, Data-Intensive Astronomy",Faculty Positions (tenure and tenure-track),Yale University,Other,/ad/460233f3,United States of America,06511
1102,1102,2020,3,2019,Observing Specialist,Other,AURA,Other,/ad/a48f0765,Chile,
1103,1103,2019,10,2019,"Fermi, McCormick, &amp; Oehme Postdoctoral Fellowships",Post-doctoral Positions and Fellowships,University of Chicago,Small Academic,/ad/2ce33495,United States of America,60637
1104,1104,2020,2,2019,Project Engineer,Science Engineering,Smithsonian Astrophysical Observatory,Government Agency,/ad/a2d18f4d,United States of America,02138
1105,1105,2019,6,2019,Research Associate- Wide Field Infrared Survey Telescope,Post-doctoral Positions and Fellowships,University of Washington,Large Academic,/ad/e82a59ff,United States of America,98195
1106,1106,2021,10,2021,Postdoctoral Researcher position in Galactic Archaeology,Post-doctoral Positions and Fellowships,Leibniz-Institut für Astrophysik Potsdam (AIP),Large Academic,/ad/2cfe0dee,Germany,14482
1107,1107,2022,10,2022,3-year postdocs in DESI data analysis at IFAE (Barcelona),Post-doctoral Positions and Fellowships,Institut de Física d'Altes Energies (IFAE),Foreign,/ad/3bc14c58,Spain,
1108,1108,2020,1,2019,"Postdoctoral Researcher, Astronomy (Visiting)",Post-doctoral Positions and Fellowships,SOFIA / Universities Space Research Association,Other,/ad/eb12dc7c,United States of America,94043
1109,1109,2020,12,2020,ASTRO 3D Postdoc at Swinburne University,Post-doctoral Positions and Fellowships,Swinburne University,Large Academic,/ad/abd69348,Australia,
1110,1110,2023,4,2022,Computing Operations Engineer for Radio Astronomy (Fixed Term) ,Scientific/Technical Staff,University of Cambridge,Large Academic,/ad/08b1e790,United Kingdom of Great Britain and Northern Ireland,CB3 0HE
1111,1111,2019,10,2019, Postdoctoral Research Positions in Experimental and Observational Cosmology,Post-doctoral Positions and Fellowships,University of Illinois at Urbana-Champaign,Large Academic,/ad/042da948,United States of America,61801
1112,1112,2022,3,2021,Adaptive Optics Senior Software Engineer,Science Engineering,TMT International Observatory LLC,Other,/ad/98f4aafb,United States of America,
1113,1113,2021,10,2021,Tenure-Track Faculty Position in Astronomy/Astrophysics,Faculty Positions (tenure and tenure-track),Virginia Tech,Large Academic,/ad/64546431,United States of America,24061
1114,1114,2022,9,2022,Astrophysicist,Scientific/Technical Staff,Smithsonian Astrophysical Observatory,Government Agency,/ad/b7db823c,United States of America,
1115,1115,2021,3,2020,Postdoctoral Researcher - High-Energy/X-ray Astrophysics Instrumentation,Post-doctoral Positions and Fellowships,Penn State University,Large Academic,/ad/772dfca4,United States of America,
1116,1116,2019,12,2019,Observatory Operations Manager,Other,Lowell Observatory,Research Laboratory,/ad/ea4db2e5,United States of America,86001
1117,1117,2019,12,2019,Project Scientist for the coordination of the Spanish participation in the SKA,Post-doctoral Positions and Fellowships,Institute of Astrophysics of Andalusia (CSIC),Large Academic,/ad/22990e17,Spain,18006
1118,1118,2020,3,2019,Intermediate Remote Sensing Scientist / Engineer,Science Engineering,Frontier Technology Inc,Industry,/ad/8cedf258,United States of America,45431
1119,1119,2023,3,2022,Postdoc: Evolution of super-Earths and sub-Neptunes,Post-doctoral Positions and Fellowships,ETH Zurich,Large Academic,/ad/8f1229b9,Switzerland,8093
1120,1120,2020,5,2019,High-performance Computing Scientist ,Scientific/Technical Staff,UC Santa Cruz,Large Academic,/ad/c907cca3,United States of America,95064
1121,1121,2019,6,2019,Postdoctoral Research Associate – Astronomical spectroscopy to probe fundamental physics,Post-doctoral Positions and Fellowships,Swinburne University of Technology,Large Academic,/ad/f2478e4d,Australia,3122
1122,1122,2022,10,2022,Postdoctoral Research Fellow Position in Extra-galactic Astronomy and Cosmology,Post-doctoral Positions and Fellowships,Korea Institute for Advanced Study,Government Agency,/ad/ea8f060b,Korea (Republic of),
1123,1123,2022,10,2022,Postdoctoral researcher in Extragalactic Astronomy at Stockholm University,Post-doctoral Positions and Fellowships,Stockholm University,Large Academic,/ad/8d9044eb,Sweden,10691
1124,1124,2020,12,2020,Post-doctoral position in experimental astrophysics at ISAS/JAXA,Post-doctoral Positions and Fellowships,"Institute of Space and Astronautical Science, JAXA",Research Laboratory,/ad/4de1728a,Japan,252-5210
1125,1125,2021,11,2021,Postdoctoral Fellow in Galaxy Evolution with Gravitational Lenses,Post-doctoral Positions and Fellowships,University of New South Wales,Large Academic,/ad/f091cc82,Australia,2052
1126,1126,2023,1,2022,Six long-term postdoctoral positions for the 4D-STAR project,Post-doctoral Positions and Fellowships,KU Leuven/CEA-Saclay/University of Toulouse/Dartmouth College,Large Academic,/ad/95c6cfbb,not specified,
1127,1127,2019,9,2019,Postdoctoral Scholars in Theoretical Astrophysics,Post-doctoral Positions and Fellowships,Kavli Institute UCSB,Large Academic,/ad/6ea7432f,United States of America,93106-4030
1128,1128,2019,8,2019,ESO Fellowship Scheme 2019/2020 (Europe/Chile),Post-doctoral Positions and Fellowships,European Southern Observatory (ESO),Other,/ad/25a1758e,Germany,85748
1129,1129,2022,2,2021,Visiting Faculty Position in Physics and Astronomy,Faculty Positions (visiting and non-tenure),Bennington College,Small Academic,/ad/a1960272,United States of America,05201
1130,1130,2020,1,2019,Post-doc position in Galactic Astronomy,Post-doctoral Positions and Fellowships,Ghent University,Large Academic,/ad/fd532885,Belgium,9000
1131,1131,2022,10,2022,Neil Gehrels Prize Postdoctoral Fellowship,Post-doctoral Positions and Fellowships,University of Maryland,Large Academic,/ad/ad10402e,United States of America,20742
1132,1132,2020,2,2019,"Project Associate Professor or Project Assistant Professor, National Astronomical Observatory of Japan (NAOJ) ",Faculty Positions (visiting and non-tenure),National Astronomical Observatory of Japan,Foreign,/ad/9eb1aa7b,Japan,
1133,1133,2019,12,2019,Research Associate in Theoretical Cosmology,Faculty Positions (visiting and non-tenure),University of Manchester,Large Academic,/ad/4f5047bc,United Kingdom of Great Britain and Northern Ireland,
1134,1134,2022,2,2021,Deputy Project Manager,Other,GMTO Corporation,Other,/ad/92dcb430,United States of America,91107
1135,1135,2020,12,2020,ASTRO 3D Postdoctoral Fellow / Research Fellow (Three Positions),Post-doctoral Positions and Fellowships,The Australian National University,Large Academic,/ad/ecab2c5b,Australia,2601
1136,1136,2020,8,2020,"FONDECYT postdoctoral research projects in Physics, Astronomy, and Physics Education at Universidad Metropolitana de Ciencias de la Educación (Santiago, Chile)",Post-doctoral Positions and Fellowships,Universidad Metropolitana de Ciencias de la Educación,Small Academic,/ad/96b3a126,Chile,
1137,1137,2023,2,2022,"Sr. Laboratory Technician, McDonald Observatory",Scientific/Technical Staff,The University of Texas at Austin,Large Academic,/ad/f53c2d56,United States of America,78712
1138,1138,2022,1,2021,Citizen Science Researcher,Scientific/Technical Staff,SETI Institute,Other,/ad/e88204f6,United States of America,
1139,1139,2020,1,2019,postdoctoral position in deep learning for photometric redshifts,Post-doctoral Positions and Fellowships,Laboratoire d'Astrophysique de Marseille,Research Laboratory,/ad/0a73af24,France,13388
1140,1140,2019,10,2019,"Faculty position in Astrophysics at UTFSM, Valparaiso, Chile",Faculty Positions (tenure and tenure-track),Universidad Tecnica Federico Santa Maria,Large Academic,/ad/8c430109,Chile,2340000
1141,1141,2022,3,2021,"Scientist, X-ray Optics",Science Engineering,Universities Space Research Association,Other,/ad/d54a3616,United States of America,
1142,1142,2023,2,2022,Faculty Position in Astronomical Instrumentation for High-Contrast Imaging,Faculty Positions (tenure and tenure-track),Leiden University,Large Academic,/ad/944562f8,Netherlands,2300RA
1143,1143,2022,11,2022,PhD in extragalactic Astrophysics and Cosmology,Pre-doctoral/Graduate Positions,Heidelberg University,Large Academic,/ad/8606bf9d,Germany,69120
1144,1144,2019,7,2019,Observatory Manager,Scientific/Technical Staff,The Australian National University,Large Academic,/ad/8595725c,Australia,
1145,1145,2021,10,2021,Postdoctoral Researcher in Astronomical Polarimetry Instrumentation,Post-doctoral Positions and Fellowships,California State University Northridge,Large Academic,/ad/b8072f5a,United States of America,91330
1146,1146,2022,11,2022, Faculty -Tenure Track - Astronomy 	Faculty -Tenure Track - Astronomy,Faculty Positions (tenure and tenure-track),Utah Valley University,Large Academic,/ad/f05427b7,United States of America,84058
1147,1147,2019,9,2019,Professor in Physics,Faculty Positions (tenure and tenure-track),Stonehill College,Other,/ad/f54106a1,United States of America,02357
1148,1148,2019,12,2019,University of California Observatories: Assistant Project Scientist,Scientific/Technical Staff,"University of California, Santa Cruz",Large Academic,/ad/e2697b66,United States of America,95064
1149,1149,2021,10,2021,Staff Scientist in Computational Fluid Dynamics &amp; Exoplanet Climate Modelling (10 years),Faculty Positions (visiting and non-tenure),Ludwig Maximilian University,Large Academic,/ad/bd9dfbb5,Germany,D-81679
1150,1150,2019,12,2019,Postdoctoral position on stellar clusters,Post-doctoral Positions and Fellowships,University of Exeter,Large Academic,/ad/c3126a29,United Kingdom of Great Britain and Northern Ireland,
1151,1151,2019,9,2019,Research Associate Theoretical Astrophysics,Post-doctoral Positions and Fellowships,Cornell University,Large Academic,/ad/385b474c,United States of America,14853
1152,1152,2021,10,2021,BWPF Postdoctoral Fellowship ID# 221576,Post-doctoral Positions and Fellowships,Institute for Astronomy,Other,/ad/964a860d,United States of America,
1153,1153,2019,11,2019,Data Science Scholar,Post-doctoral Positions and Fellowships,Northwestern University,Large Academic,/ad/638d6195,United States of America,60208
1154,1154,2020,9,2020,Prize Postdoctoral Fellowship in Theoretical Astrophysics,Post-doctoral Positions and Fellowships,University of Maryland,Large Academic,/ad/05575270,United States of America,20742
